C1
Bacterial Infections and Mycoses
Bacterial Infections
Bacteremia
Hemorrhagic Septicemia
Central Nervous System Bacterial Infections
Lyme Neuroborreliosis
"Meningitis, Bacterial"
"Meningitis, Escherichia coli"
"Meningitis, Haemophilus"
"Meningitis, Listeria"
"Meningitis, Meningococcal"
Waterhouse-Friderichsen Syndrome
"Meningitis, Pneumococcal"
"Tuberculosis, Meningeal"
Neurosyphilis
"Endocarditis, Bacterial"
"Endocarditis, Subacute Bacterial"
"Eye Infections, Bacterial"
"Conjunctivitis, Bacterial"
"Conjunctivitis, Inclusion"
Ophthalmia Neonatorum
Trachoma
Hordeolum
"Keratoconjunctivitis, Infectious"
"Tuberculosis, Ocular"
"Uveitis, Suppurative"
Panophthalmitis
Fournier Gangrene
Gram-Negative Bacterial Infections
Aliivibrio Infections
Anaplasmataceae Infections
Anaplasmosis
Ehrlichiosis
Heartwater Disease
Bacteroidaceae Infections
Bacteroides Infections
Bartonellaceae Infections
Bartonella Infections
"Angiomatosis, Bacillary"
Cat-Scratch Disease
Trench Fever
Bordetella Infections
Whooping Cough
Borrelia Infections
Lyme Disease
Erythema Chronicum Migrans
Post-Lyme Disease Syndrome
Relapsing Fever
Brucellosis
"Brucellosis, Bovine"
Burkholderia Infections
Glanders
Melioidosis
Campylobacter Infections
Chlamydiaceae Infections
Chlamydia Infections
Chlamydial Pneumonia
Lymphogranuloma Venereum
Chlamydophila Infections
Psittacosis
Cytophagaceae Infections
Desulfovibrionaceae Infections
Enterobacteriaceae Infections
"Dysentery, Bacillary"
Escherichia coli Infections
Granuloma Inguinale
Klebsiella Infections
Rhinoscleroma
Proteus Infections
Salmonella Infections
Paratyphoid Fever
Salmonella Food Poisoning
"Salmonella Infections, Animal"
Typhoid Fever
Serratia Infections
Yersinia Infections
Plague
Yersinia pseudotuberculosis Infections
Flavobacteriaceae Infections
Fusobacteriaceae Infections
Fusobacterium Infections
"Gingivitis, Necrotizing Ulcerative"
Lemierre Syndrome
Helicobacter Infections
Legionellosis
Legionnaires' Disease
Leptospirosis
Weil Disease
Moraxellaceae Infections
Acinetobacter Infections
Mycoplasmatales Infections
Mycoplasma Infections
"Pleuropneumonia, Contagious"
"Pneumonia, Mycoplasma"
Ureaplasma Infections
Neisseriaceae Infections
Gonorrhea
Meningococcal Infections
Pasteurellaceae Infections
Actinobacillus Infections
Actinobacillosis
Haemophilus Infections
Chancroid
Pasteurella Infections
"Pasteurellosis, Pneumonic"
Piscirickettsiaceae Infections
Pseudomonas Infections
Q Fever
Rat-Bite Fever
Rickettsiaceae Infections
"Pneumonia, Rickettsial"
Rickettsia Infections
Spotted Fever Group Rickettsiosis
Boutonneuse Fever
Rocky Mountain Spotted Fever
"Typhus, Endemic Flea-Borne"
"Typhus, Epidemic Louse-Borne"
Scrub Typhus
Tick-Borne Diseases
Treponemal Infections
Pinta
Syphilis
Chancre
Tabes Dorsalis
"Syphilis, Cardiovascular"
"Syphilis, Congenital"
"Syphilis, Cutaneous"
"Syphilis, Latent"
Yaws
Tularemia
Vibrio Infections
Cholera
Gram-Positive Bacterial Infections
Actinomycetales Infections
Actinomycosis
"Actinomycosis, Cervicofacial"
Whipple Disease
Corynebacterium Infections
Diphtheria
Erythrasma
Mycobacterium Infections
Leprosy
"Leprosy, Multibacillary"
"Leprosy, Lepromatous"
"Leprosy, Paucibacillary"
"Leprosy, Borderline"
"Leprosy, Tuberculoid"
"Mycobacterium Infections, Nontuberculous"
Buruli Ulcer
Mycobacterium avium-intracellulare Infection
Paratuberculosis
Tuberculosis
Latent Tuberculosis
"Peritonitis, Tuberculous"
Tuberculoma
"Tuberculoma, Intracranial"
"Tuberculosis, Avian"
"Tuberculosis, Bovine"
"Tuberculosis, Cardiovascular"
"Pericarditis, Tuberculous"
"Tuberculosis, Central Nervous System"
"Tuberculosis, Cutaneous"
Erythema Induratum
Lupus Vulgaris
"Tuberculosis, Endocrine"
"Tuberculosis, Gastrointestinal"
"Tuberculosis, Hepatic"
"Tuberculosis, Laryngeal"
